AUROC,AUPRC,MCC,Accuracy,F1,threshold,MCC_tuned,Accuracy_tuned,F1_tuned,threshold_tuned,fold,model,featurization,target,split,epochs_run,best_epoch,best_score,es_triggered,monitor,min_epochs,max_epochs,patience,min_delta,run_tag
0.9982504006949457,0.9982903843325113,0.9552098108110927,0.9775733179988499,0.9777015437392796,0.5,0.9552098108110927,0.9775733179988499,0.9777015437392796,0.5,4,chemprop,exp_1_default_parity_singletask,@/@@_class,train,49,38,0.04901345446705818,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9992243767313019,0.9992240795653038,0.9791643818062103,0.9894736842105263,0.9895833333333334,0.5,0.9791643818062103,0.9894736842105263,0.9895833333333334,0.5,4,chemprop,exp_1_default_parity_singletask,@/@@_class,val,49,38,0.04901345446705818,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9844875346260388,0.9855823874706016,0.8842595171198449,0.9421052631578948,0.9424083769633508,0.5,0.8842595171198449,0.9421052631578948,0.9424083769633508,0.5,4,chemprop,exp_1_default_parity_singletask,@/@@_class,test,49,38,0.04901345446705818,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8374294547076654,0.8355684688066751,0.5034937441325367,0.7507188039102932,0.7614855570839064,0.5,0.500470341786395,0.7501437607820587,0.7467210725735937,0.5161788463592529,0,chemprop,exp_1_default_parity_singletask,F/L_class,train,28,17,0.5563381910324097,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.7934626038781164,0.7859839991977418,0.4324422979815302,0.7157894736842105,0.7244897959183674,0.5,0.47410465593076045,0.7368421052631579,0.7311827956989247,0.5161788463592529,0,chemprop,exp_1_default_parity_singletask,F/L_class,val,28,17,0.5563381910324097,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.7450415512465374,0.7684770790736586,0.30635132231815837,0.6526315789473685,0.6666666666666666,0.5,0.26321623166833613,0.631578947368421,0.6276595744680851,0.5161788463592529,0,chemprop,exp_1_default_parity_singletask,F/L_class,test,28,17,0.5563381910324097,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9089398208603426,0.9150061828531622,0.592969866707289,0.7964347326049454,0.7982905982905983,0.5,0.567305634523492,0.7524439332949971,0.6793296089385474,0.7928187847137451,1,chemprop,exp_1_default_parity_singletask,F/L_class,train,43,32,0.5395674705505371,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8103047091412742,0.8204912908901373,0.4005551702879947,0.7,0.7076923076923077,0.5,0.48115570367920674,0.7157894736842105,0.6351351351351351,0.7928187847137451,1,chemprop,exp_1_default_parity_singletask,F/L_class,val,43,32,0.5395674705505371,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.7231024930747922,0.7346393796917734,0.23190036174568116,0.6157894736842106,0.6256410256410256,0.5,0.34443359905993026,0.6526315789473685,0.547945205479452,0.7928187847137451,1,chemprop,exp_1_default_parity_singletask,F/L_class,test,43,32,0.5395674705505371,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9000314471543961,0.9055544686354694,0.6035088353589858,0.8013225991949396,0.7958641063515509,0.5,0.5662266979614218,0.7639447958596894,0.8000973946919893,0.26584821939468384,2,chemprop,exp_1_default_parity_singletask,F/L_class,train,43,32,0.5807027816772461,True,val_loss,10,75,10,1e-05,exp1_default_parity
